colocação,título_brasileiro,título_original,distribuidora,renda,publico,salas_abertura,estreia
28,Os homens sao de Marte... e é para lá que eu vou,Os homens sao de Marte... e é para lá que eu vou,Downtown/Paris,"21.630.100,00",1806937,465,2014-05-29
29,S.O.S Mulheres ao mar,S.O.S Mulheres ao mar,Disney,"20.834.125,00",1788813,423,2014-03-20
30,Godzilla,Godzilla,Warner,"18.031.000,00",1324900,741,2014-05-15
31,Maze Runner - Correr ou morrer,The Maze Runner,Fox,"17.939.800,00",1565714,344,2014-09-18
32,Interestelar,Interstellar,Warner,"17.032.600,00",1205685,425,2014-06-11
33,A menina que roubava livros,The Book Thief,Fox,"16.134.400,00",1373208,260,2014-01-31
34,Muita calma nessa hora 2,Muita calma nessa hora 2,Downtown/Paris,"15.978.600,00",1432672,410,2014-01-17
35,As aventuras de Peabody e Sherman,Mr. Peabody & Sherman,Fox,"15.165.700,00",1197339,678,2014-02-28
36,Operação Big Hero,Big Hero 6,Disney,"14.903.700,00",1148944,950,2014-12-25
37,Vestido pra casar,Vestido pra casar,Imagem,"14.844.500,00",1275187,499,2014-07-08
38,O lobo de Wall Street,The Wolf of Wall Street,Paris,"14.705.600,00",1070355,282,2014-01-24
39,Divergente,Divergent,Paris,"14.484.500,00",1213374,512,2014-04-17
40,Frankenstein - Entre anjos e demônios,"I, Frankenstein",Playarte,"14.096.900,00",1045879,509,2014-01-24
41,Uma aventura Lego,The Lego Movie,Warner,"13.436.700,00",1033539,575,2014-07-02
42,Festa no céu,The Book of Life,Fox,"13.011.700,00",1052897,566,2014-10-16
43,Atividade paranormal: Marcados pelo mal,Paranormal Activity: The Marked Ones,Paramount,"12.110.400,00",1042814,349,2014-10-01
44,Tarzan - A evolução da lenda,Tarzan,Imagem,"12.021.100,00",913209,395,2014-01-17
45,Pompeia,Pompeii,Imagem,"11.708.900,00",780544,419,2014-02-21
46,Alemão,Alemão,Downtown/Paris,"11.341.400,00",960451,368,2014-03-13
47,Sem escalas,Non-Stop,Paris,"10.647.700,00",907216,409,2014-02-28
48,Tim Maia,Tim Maia,Downtown/Paris,"10.338.900,00",820276,551,2014-10-30
49,No limite do amanha,Edge of Tomorrow,Warner,"10.213.600,00",796239,530,2014-05-29
50,Livrai-nos do mal,Deliver Us From Evil,Sony,"10.114.300,00",908264,310,2014-09-18
51,Trapaça,American Hustle,Sony,"8.974.810,00",635522,152,2014-07-02
52,O protetor,The Equalizer,Sony,"8.865.550,00",709055,335,2014-09-25
53,Confissoes de adolescente,Confissoes de adolescente,Sony,"8.608.777,00",821470,388,2014-10-01
54,Hércules,The Legend of Hercules,Diamond Films,"8.580.220,00",652287,335,2014-07-02
55,Caminhando com dinossauros,Walking with Dinosaurs,Fox,"8.273.120,00",612265,302,2014-01-17
56,Os caras de pau em o misterioso roubo do anel,Os caras de pau em o misterioso roubo do anel,Imagem,"8.050.280,00",663268,552,2014-12-25
57,Need for Speed,Need for Speed,Disney,"7.900.540,00",599155,432,2014-03-13
58,O hobbit - A desolação de Smaug,The Hobbit - The Desolation of Smaug,Warner,"7.845.760,00",579829,1012,2013-12-13
59,Copa de elite,Copa de elite,Fox,"7.794.860,00",646816,256,2014-04-17
60,Aviões - Heróis do fogo ao resgate,Planes: Fire & Rescue,Disney,"7.564.970,00",642025,702,2014-07-17
61,47 Ronins,47 Ronin,Universal,"7.429.550,00",540837,250,2014-01-31
62,Garota exemplar,Gone Girl,Fox,"7.255.690,00",535290,258,2014-02-10
63,12 anos de escravidão,12 Years a Slave,Disney,"7.031.750,00",504818,77,2014-02-21
64,Quero matar meu chefe 2,Horrible Bosses 2,Warner,"6.969.080,00",569453,345,2014-04-12
