id,título_original,genero,subgenero
627,John Carter,Action,Adventure
628,Paranormal Activity 4,Horror,Placeholder
629,Abraham Lincoln: Vampire Hunter,Action,Fantasy
630,Total Recall,Action,Science Fiction
631,Life of Pi,Adventure,Drama
632,Journey 2: The Mysterious Island,Adventure,Action
633,Puss in Boots,Action,Adventure
634,Taken 2,Action,Crime
635,This Means War,Action,Comedy
636,Dark Shadows,Comedy,Fantasy
637,Titanic 3D,Documentary,Placeholder
638,Dr. Seuss The Lorax,Animation,Family
639,Underworld Awakening,Fantasy,Action
640,"AS Aventuras de Agamenon, o repórter",Comedy,Placeholder
641,To Rome With Love,Romance,Comedy
642,The Iron Lady,History,Drama
643,Battleship,Thriller,Action
644,The Girl with the Dragon Tattoo,Thriller,Crime
645,Hope Springs,Drama,Comedy
646,The Descendants,Comedy,Drama
647,The Dictator,Comedy,Placeholder
648,De pernas pro ar 2,Comedy,Romance
649,The Devil Inside,Thriller,Horror
650,The Possession,Horror,Thriller
651,Tinker Bell,Animation,Family
652,The Pirates! Band of Misfits,Animation,Adventure
653,Totalmente inocentes,Placeholder,Placeholder
654,What To Expect When You?re Expecting,Romance,Comedy
655,The Bourne Legacy,Action,Thriller
656,Looper,Action,Thriller
657,Sinister,Horror,Thriller
658,The Impossible,Thriller,Drama
659,The Woman in Black,Drama,Horror
660,ParaNorman,Family,Animation
661,The Artist,Drama,Comedy
662,Paraísos artificiais,Drama,Placeholder
663,Xingu,Drama,Placeholder
664,E a vida continua...,Drama,Placeholder
665,Argo,Drama,Thriller
666,Kids 4: All the Time in the World,Family,Comedy
667,Frankenweenie,Animation,Comedy
668,eua,Drama,Placeholder
669,2Coelhos,Placeholder,Placeholder
670,Outback,Animation,Adventure
671,On The Road,Adventure,Drama
672,One For The Money,Action,Comedy
673,The Vow,Drama,Romance
674,War Horse,Drama,War
675,Man on a Ledge,Action,Thriller
676,The Darkest Hour,Horror,Action
677,The Reef: High Tide,Animation,Family
678,Chernobyl Diaries,Horror,Thriller
679,The Raven,Crime,Thriller
680,Billi Pig,Comedy,Placeholder
681,21 Jump Street,Action,Comedy
682,We Bought a Zoo,Drama,Comedy
683,A Dangerous Method,Drama,Thriller
684,Star Wars Episode I - The Phantom Menace,Adventure,Action
685,Get the Gringo,Action,Thriller
686,Finding Nemo 3D,Animation,Family
687,Katy Perry: Part of Me,Documentary,Music
688,The Lucky One,Drama,Romance
689,Chronicle,Science Fiction,Drama
690,Nader az Simin,Drama,Placeholder
691,Destiny Road,Placeholder,Placeholder
