,título_original,genero,subgenero,colocação,título_brasileiro,distribuidora,renda,publico,salas_abertura,estreia,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,0-10,11-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91-100
514,The Vow,Drama,Romance,81,PARA SEMPRE,Sony,3094205,273826,69,2012-07-06,35,40,35,46,45,35,35,44,40,32,40,44,40,38,39,32,41,40,42,37,46,39,39,36,42,46,42,32,40,60,43,41,49,41,43,47,33,43,43,55,61,54,49,44,42,53,56,53,39,43,42,43,50,57,38,55,41,39,43,48,64,41,34,44,41,44,43,55,47,39,44,44,42,56,54,46,51,41,45,37,50,46,42,45,45,54,59,58,62,40,46,41,46,37,56,47,45,44,46,41,47,52,61,41,41,43,51,44,53,54,53,60,48,42,45,41,60,47,42,43,43,50,53,66,45,49,45,36,40,49,56,42,43,40,43,37,49,50,48,42,50,45,46,61,73,57,62,67,84,80,100,82,66,64,55,55,56,71,65,58,57,54,46,54,68,67,58,45,48,41,53,70,67,48,55,44,47,54,60,60,58,0,0,0,32,88,40,15,3,2,1
515,War Horse,Drama,War,82,CAVALO DE GUERRA,Disney,3089761,277623,115,2012-06-01,59,100,56,82,46,28,36,36,35,44,67,35,42,35,31,35,65,55,49,29,42,24,51,68,54,41,48,51,18,40,32,59,29,30,27,25,49,48,68,31,17,24,31,35,42,41,27,50,22,41,36,47,33,26,21,32,30,27,58,46,29,34,27,30,41,42,46,18,24,29,48,27,41,61,21,27,34,21,27,30,13,21,21,30,37,19,48,26,13,17,13,24,16,24,34,15,30,22,17,23,22,29,15,30,30,33,14,49,39,30,31,25,17,16,44,54,40,13,15,13,16,35,24,18,32,28,17,14,24,35,26,21,17,30,15,26,24,23,10,25,27,18,28,29,27,18,12,23,20,17,24,21,17,19,27,27,25,22,11,14,15,21,7,40,23,15,25,25,17,19,22,12,6,14,23,15,9,28,12,13,24,4,42,69,27,23,9,5,0,1,1
516,Man on a Ledge,Action,Thriller,83,À BEIRA DO ABISMO,Paris,2973998,291678,200,2012-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,46,0,24,24,0,0,0,0,0,0,23,0,0,31,0,0,0,0,0,35,93,33,44,33,46,33,23,76,99,22,22,56,34,36,63,100,23,0,67,23,24,0,31,22,33,0,0,0,0,0,0,34,24,0,22,85,0,0,0,22,0,24,0,31,0,22,0,0,0,29,0,22,0,0,22,0,29,0,0,21,0,0,44,0,29,0,0,42,0,0,29,0,0,0,0,47,130,0,26,11,6,1,2,1,1,3
517,The Darkest Hour,Horror,Action,84,A HORA DA ESCURIDÃO,Fox,2909397,230375,162,2012-01-13,3,3,4,4,8,4,3,3,10,0,0,4,7,6,3,6,3,4,11,12,3,33,9,9,4,5,9,8,7,6,13,4,8,21,24,30,42,100,61,61,39,39,27,25,34,23,40,26,18,21,17,15,27,13,18,10,8,13,6,9,12,4,10,5,5,8,14,7,9,5,8,5,3,4,9,12,10,8,9,5,7,9,4,7,10,3,7,12,7,8,5,4,5,4,18,21,7,9,6,9,8,16,10,9,9,4,7,4,6,10,9,5,7,3,12,35,19,15,5,8,5,16,24,15,11,15,6,7,13,29,30,21,10,7,13,8,24,19,7,7,12,6,8,18,24,14,19,8,6,0,8,7,7,4,2,4,3,7,11,6,0,5,5,4,3,7,9,5,2,7,8,19,10,4,2,5,0,3,8,10,5,124,31,16,6,1,0,2,0,0,1
518,Chernobyl Diaries,Horror,Thriller,86,CHERNOBYL,Paris,2632983,255912,137,2012-07-20,4,16,6,8,7,11,8,5,8,8,17,11,8,11,10,10,10,21,7,8,4,8,11,5,8,7,6,2,5,11,2,6,5,11,9,4,9,5,17,9,12,14,20,10,13,10,12,10,6,6,11,8,11,5,13,11,8,7,6,10,9,12,7,15,6,10,9,7,10,11,17,10,7,18,13,8,9,12,6,8,15,14,10,8,9,8,11,13,11,13,8,11,9,13,13,12,9,14,14,16,22,12,13,13,7,9,10,9,16,10,15,15,11,14,27,20,23,22,16,16,35,45,57,40,43,37,53,67,84,100,86,62,53,58,54,50,62,40,43,27,32,35,41,42,36,15,23,23,28,34,47,23,17,25,25,22,31,36,27,18,17,20,23,27,24,27,23,16,18,19,24,26,19,14,20,19,18,26,37,12,15,66,64,22,11,7,5,3,0,2,1
519,The Raven,Crime,Thriller,87,O CORVO,Paris,2574224,251140,173,2012-05-18,58,59,46,34,34,35,44,48,34,17,46,12,66,31,32,23,34,50,28,18,39,72,40,42,21,17,11,51,61,34,46,35,17,36,31,73,17,50,23,34,43,71,32,56,29,51,35,36,46,31,34,40,34,35,42,24,66,25,69,39,45,48,30,55,33,44,39,51,36,61,16,49,33,40,57,48,47,91,34,17,46,12,24,62,34,34,11,28,23,25,42,43,35,24,37,19,22,28,34,25,19,25,47,23,18,100,37,29,29,35,60,16,66,50,22,33,22,47,38,73,27,31,27,37,46,38,41,21,43,11,11,28,30,40,43,27,38,28,23,53,64,50,38,38,27,29,22,38,32,32,56,23,30,51,69,25,25,53,10,43,28,44,42,32,43,22,34,21,38,37,52,42,69,61,56,97,48,31,62,53,77,1,17,40,53,34,16,12,5,0,3
520,Billi Pig,Comedy,Placeholder,88,BILLI PIG,Imagem,2512849,262213,211,2012-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,32,0,0,0,45,0,100,0,33,34,43,44,0,32,0,33,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,43,44,0,31,0,0,0,0,0,0,0,32,0,34,0,0,0,0,0,0,35,0,0,0,34,0,0,0,0,0,0,35,36,0,44,0,63,35,50,33,0,0,89,47,31,31,31,31,33,43,0,0,29,30,30,65,64,69,30,0,31,0,32,42,0,60,30,0,32,33,0,0,31,31,31,0,0,41,129,0,5,28,12,1,4,0,1,1
521,21 Jump Street,Action,Comedy,89,ANJOS DA LEI,Sony,2409761,246670,202,2012-04-05,36,0,50,24,0,25,48,34,25,0,24,25,26,0,34,73,0,36,36,0,33,0,0,38,31,36,49,31,33,0,0,25,0,52,34,35,24,0,0,0,0,0,34,24,0,31,33,60,33,100,0,48,25,25,26,0,36,27,0,24,48,25,0,34,24,48,24,25,26,33,33,35,23,49,24,52,34,0,24,48,25,0,26,33,0,24,24,49,0,0,36,37,0,26,54,27,31,81,48,27,0,27,28,33,0,48,53,25,38,0,39,0,54,24,58,23,0,38,32,35,23,22,0,23,25,65,35,53,0,0,23,24,0,35,46,35,35,24,25,33,0,24,23,24,0,0,0,33,23,0,48,24,39,36,42,0,0,26,0,23,30,32,23,23,23,23,25,0,0,23,33,22,45,0,30,32,23,0,0,34,24,49,0,60,45,15,8,1,1,1,1
522,We Bought a Zoo,Drama,Comedy,90,COMPRAMOS UM ZOOLÓGICO,Fox,2406735,301422,223,2011-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,17,0,0,0,25,0,0,0,0,0,0,26,0,17,17,18,37,51,80,0,27,19,20,100,57,51,76,66,39,71,82,42,69,28,45,62,36,18,48,76,25,17,42,25,18,58,37,16,16,0,0,26,140,13,7,4,4,4,3,4,1,1
523,A Dangerous Method,Drama,Thriller,91,UM MÉTODO PERIGOSO,Imagem,2378755,204638,39,2012-03-30,0,12,12,8,8,8,15,21,15,23,23,8,8,0,11,8,0,7,8,16,20,27,15,11,0,8,0,10,11,8,15,0,15,8,10,0,7,15,11,42,44,90,89,61,38,23,54,65,100,34,34,19,11,30,43,34,56,22,15,26,33,47,49,26,19,15,18,22,31,35,32,36,62,12,19,16,34,31,22,25,26,8,23,10,22,22,14,22,11,27,10,16,37,15,0,22,8,10,10,7,0,7,11,8,10,21,29,7,11,36,12,35,41,26,11,15,29,8,10,31,14,14,21,7,8,20,16,21,7,11,15,8,25,11,7,18,15,11,16,0,21,16,7,7,7,8,21,11,14,7,7,15,0,15,16,7,0,0,22,8,0,0,7,7,29,14,0,19,21,7,0,7,15,0,0,0,0,14,14,14,7,66,55,31,15,6,2,3,0,2,1
524,Star Wars Episode I - The Phantom Menace,Adventure,Action,92,STAR WARS: EP 1,Fox,2364855,163946,184,2012-10-02,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,100,0,0,0,0,0,0,97,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,4,1,4
525,Get the Gringo,Action,Thriller,93,PLANO DE FUGA,Imagem,2099147,197408,190,2012-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,69,86,68,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,65,0,67,0,0,0,0,65,67,0,72,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,61,63,0,0,0,0,0,0,0,0,0,87,95,0,0,0,66,69,0,0,0,0,0,0,0,0,0,0,64,65,0,71,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,61,60,0,0,0,0,0,0,0,0,0,89,0,0,0,62,0,0,0,152,0,0,0,0,1,17,4,4,3
526,Finding Nemo 3D,Animation,Family,94,PROCURANDO NEMO 3D,Disney,2084267,151748,224,2012-12-10,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,33,0,34,0,0,49,34,33,67,0,0,0,0,0,0,0,35,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,31,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,31,0,0,31,32,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,2,12,3,0,1,0,0,1
527,Katy Perry: Part of Me,Documentary,Music,95,KATY PERRY: PART OF ME,Paramount,2050012,150655,154,2012-03-08,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,0,3,0,4,0,0,0,3,3,0,0,0,0,0,0,29,16,28,81,68,43,17,36,25,24,11,18,16,23,20,24,16,6,13,16,10,18,17,18,17,20,10,10,10,17,22,18,15,15,21,29,33,29,15,12,43,100,78,84,71,32,35,26,32,33,53,37,21,37,29,37,34,41,49,10,21,18,8,22,22,45,28,29,21,18,25,35,36,25,18,22,15,23,37,36,28,33,14,17,23,33,19,16,13,35,17,13,24,24,18,16,24,24,18,36,29,18,16,16,26,20,31,17,12,12,8,26,13,76,42,32,19,5,1,1,2,2,1
528,The Lucky One,Drama,Romance,96,UM HOMEM DE SORTE,Warner,2047703,200600,151,2012-04-05,29,20,0,0,0,0,27,0,0,0,0,0,21,0,0,0,0,0,0,20,25,0,0,0,19,0,0,51,0,38,19,19,0,0,26,0,0,0,0,38,0,24,25,0,19,19,0,21,0,0,0,19,0,0,21,0,0,19,20,0,0,0,26,26,0,28,19,0,41,0,0,21,23,19,19,0,25,39,37,46,0,38,40,51,52,37,18,38,19,30,27,0,38,37,19,0,40,39,43,29,38,29,19,62,0,29,29,51,31,65,49,63,38,63,42,21,33,64,0,38,61,60,20,68,61,79,83,27,73,18,37,40,77,54,71,17,45,36,77,50,68,36,36,56,81,28,100,54,45,27,37,28,29,38,54,37,36,28,19,58,49,64,73,54,65,29,20,57,65,42,27,40,26,37,58,98,36,35,27,37,19,50,23,32,31,10,13,12,6,2,2
529,Chronicle,Science Fiction,Drama,97,PODER SEM LIMITES,Fox,2039497,207099,158,2012-02-03,0,0,27,0,28,0,37,0,27,27,0,0,58,37,0,27,0,0,27,0,0,0,0,25,25,0,0,0,38,0,25,0,25,0,0,0,26,0,26,0,0,0,36,0,49,0,0,27,0,0,0,26,0,0,0,0,0,50,25,0,0,0,0,0,25,25,24,0,0,0,0,0,48,0,0,26,0,34,24,0,24,24,0,0,34,0,23,30,72,0,31,32,0,0,0,24,0,33,34,0,0,24,0,0,33,34,24,0,0,25,0,33,0,48,24,0,0,26,0,0,26,0,0,24,25,0,0,0,24,0,0,26,32,33,35,23,24,0,0,34,0,24,24,49,0,0,0,36,0,24,0,25,0,35,0,0,26,26,0,31,40,48,0,26,54,28,97,0,0,26,50,25,25,26,100,70,47,0,0,24,50,95,0,50,21,9,2,1,1,0,2
530,Nader az Simin,Drama,Placeholder,98,A SEPARAÇÃO,Imovision,1981358,175747,15,2012-01-20,37,36,58,40,41,23,41,73,60,36,43,38,33,65,60,48,31,47,42,49,36,44,44,37,36,43,71,64,81,48,52,49,41,43,55,53,59,58,55,35,18,82,34,44,58,70,58,41,43,47,57,49,40,29,37,48,17,13,51,40,52,31,83,41,41,58,52,22,28,53,54,37,27,55,100,75,76,64,53,52,76,40,50,66,57,61,38,52,54,42,30,33,62,73,50,57,32,56,43,49,67,65,32,18,56,52,36,54,61,32,33,15,40,43,34,65,47,37,35,44,37,37,35,33,25,31,38,25,33,27,13,28,27,41,44,11,16,18,16,47,33,11,39,35,25,19,35,33,39,59,20,45,27,49,55,28,54,42,48,72,73,48,54,56,74,44,63,92,70,64,33,64,59,82,53,53,36,72,63,76,75,0,13,14,44,39,37,16,12,4,2
531,Breaking Wind,Horror,Comedy,101,A SAGA MOLUSCO: ANOITECER,Playarte,1872447,202154,192,2012-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,20,20,0,21,24,31,76,42,21,21,22,0,31,75,21,20,0,39,0,40,55,37,55,46,37,20,0,68,54,35,45,63,58,51,27,18,18,0,27,28,100,41,45,18,37,19,58,139,8,10,8,5,6,2,2,0,1
532,Seeking Justice,Action,Drama,103,O PACTO,Imagem,1859832,187167,193,2012-09-03,52,28,39,31,28,29,42,58,42,28,26,34,28,37,48,46,44,53,43,30,59,60,22,49,41,56,35,53,100,61,35,52,30,38,37,43,33,44,48,44,43,37,58,60,46,36,37,67,40,35,48,65,49,34,32,27,58,86,46,36,59,43,38,36,38,54,38,44,31,50,67,45,50,69,52,52,55,50,53,32,45,63,40,41,43,66,57,51,27,38,19,45,62,49,44,43,52,53,48,24,29,26,36,31,40,62,35,39,49,58,35,60,59,46,39,47,55,50,34,63,47,34,36,35,29,50,45,32,43,56,45,47,36,67,46,39,37,39,26,24,43,40,54,38,56,48,48,37,33,40,44,57,49,46,44,38,42,24,59,44,44,49,26,46,57,64,36,34,69,61,49,22,42,21,25,52,25,41,32,39,28,0,1,24,51,57,32,14,0,1,1
533,The Grey,Drama,Thriller,106,A PERSEGUIÇÃO,Imagem,1831206,160953,87,2012-04-20,10,0,7,14,7,8,20,25,21,7,11,7,8,0,16,7,7,11,8,0,0,0,11,15,7,7,0,0,11,0,0,0,16,9,12,14,0,8,8,9,20,0,0,0,0,0,7,8,0,11,7,10,0,14,0,10,0,7,0,14,10,22,10,10,7,7,0,7,11,10,10,28,10,7,0,7,10,21,14,14,7,0,0,19,15,0,7,7,7,8,11,32,11,26,23,20,7,31,38,24,17,27,10,11,14,34,17,13,17,7,29,27,29,20,20,20,7,14,9,28,14,7,13,7,7,22,9,17,10,7,13,14,54,42,14,21,14,0,19,20,0,8,21,7,13,25,13,27,17,29,33,10,95,92,100,40,26,23,37,42,53,71,32,43,48,30,31,39,37,20,26,20,27,14,31,44,13,13,23,17,24,81,51,26,12,5,2,0,1,0,3
534,O Diário de Tati,Comedy,Placeholder,107,O DIÁRIO DE TATI,Vinny Filmes,1781187,207392,104,2012-08-24,0,0,0,0,0,0,0,0,0,25,0,35,24,24,24,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,36,0,0,0,0,0,0,36,24,23,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,33,0,23,0,23,86,93,32,23,22,34,23,74,79,32,23,23,0,50,100,68,34,47,0,23,23,0,31,81,23,22,58,23,24,76,96,46,0,23,23,37,30,0,23,23,0,0,47,30,29,41,0,22,0,61,0,0,0,0,21,22,23,0,30,0,0,0,0,23,30,0,0,0,22,23,0,30,30,0,22,22,44,0,0,0,32,42,23,0,0,0,63,22,0,0,43,22,28,0,0,20,0,0,0,0,31,0,0,0,0,0,31,33,22,98,1,48,14,8,1,3,3,2,3
535,Killing Them Softly,Crime,Thriller,108,O HOMEM DA MÁFIA,Imagem,1750317,131059,55,2012-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,69,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,4,0,0,1
536,Extremely Loud and Incredibly Close,Drama,Placeholder,109,TÃO FORTE E TÃO PERTO,Warner,1722620,162496,98,2012-02-24,4,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,3,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,5,4,0,0,3,0,0,3,4,0,0,0,0,0,3,4,0,3,0,3,0,6,4,0,0,3,0,3,0,0,6,0,3,3,0,4,0,6,0,0,0,3,3,4,4,0,5,3,3,3,0,0,0,0,0,0,3,4,4,0,23,19,5,7,15,4,3,8,3,6,4,4,8,7,4,4,0,12,4,4,7,3,7,4,8,6,10,19,17,18,31,77,100,79,42,30,28,17,17,37,27,20,9,9,8,13,19,36,9,12,13,16,11,21,22,9,8,3,7,3,17,16,5,6,4,7,4,11,22,3,4,3,6,149,18,7,3,1,0,0,2,0,1
537,"Tinker, Tailor, Soldier, Spy",Drama,Thriller,110,O ESPIÃO QUE SABIA DEMAIS,PlayArte,1687832,137811,36,2012-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,10,0,0,7,7,0,10,0,7,7,0,0,8,11,13,0,22,7,8,9,21,0,0,7,14,0,21,23,34,26,19,26,42,62,53,100,53,33,38,22,51,79,48,41,44,33,19,43,44,47,22,9,16,26,7,148,7,9,4,7,3,1,1,0,1
538,360,Drama,Romance,111,360,Paris,1674793,142943,131,2012-08-17,66,50,48,48,48,50,58,58,45,45,40,43,39,57,58,46,40,39,41,39,51,64,46,43,40,45,42,52,62,41,40,41,40,41,49,53,45,44,41,41,48,55,61,44,43,56,50,46,61,55,48,45,47,50,46,59,62,43,42,44,46,48,58,61,45,53,52,48,48,64,65,57,50,52,48,50,68,74,58,63,77,57,58,72,76,56,54,51,51,50,66,70,51,51,50,50,53,64,63,46,51,64,50,54,69,66,53,50,49,52,56,75,73,70,76,56,54,57,68,66,52,55,55,50,54,73,65,55,56,55,49,58,71,63,62,65,63,68,65,82,83,68,67,62,64,63,86,82,73,70,73,75,77,83,100,88,75,77,73,76,81,87,81,68,68,66,63,78,88,63,62,64,62,59,67,72,63,55,59,60,57,0,0,0,8,52,47,44,19,10,1
539,Gone,Drama,Thriller,112,12 HORAS,Paris,1663112,159032,128,2012-04-13,40,28,34,21,17,33,30,34,28,17,31,41,22,20,17,30,25,26,33,46,24,29,26,21,36,20,0,19,50,49,30,44,14,26,24,37,46,24,30,17,21,28,27,24,29,25,17,22,30,34,26,41,42,31,25,34,64,33,94,48,33,27,18,32,37,32,30,23,22,38,24,21,24,22,17,27,34,24,25,26,40,48,38,28,21,29,19,49,26,63,82,41,29,34,34,25,21,15,31,36,12,24,26,18,44,41,54,48,45,25,34,38,45,31,35,56,53,95,79,58,42,20,22,26,35,28,33,28,23,24,20,44,24,35,23,39,53,27,47,31,26,28,36,27,23,39,23,28,46,100,65,49,57,69,60,67,58,28,43,25,50,40,50,31,23,32,11,38,23,23,46,42,44,54,23,31,23,33,41,22,38,1,18,72,42,29,9,5,1,1,3
540,Pina,Documentary,Placeholder,113,PINA,Imovision,1656517,103967,30,2012-03-23,46,38,57,34,37,48,39,48,26,59,51,60,69,42,30,65,67,35,28,34,50,43,74,35,46,46,38,31,32,35,42,39,57,64,38,39,58,43,67,70,49,46,41,60,50,49,51,38,45,36,61,47,51,49,47,56,39,45,60,72,54,46,89,49,70,33,46,54,68,42,30,42,53,55,50,47,27,69,52,42,45,56,70,65,59,52,57,43,45,40,35,44,45,57,51,72,43,66,56,63,48,56,36,58,52,19,49,100,65,71,75,63,45,64,30,79,74,58,86,54,46,99,52,52,40,67,44,74,58,56,45,55,27,54,48,51,59,55,41,47,51,57,48,54,53,57,37,43,38,38,61,60,59,75,32,44,54,46,40,61,46,30,46,62,40,48,49,64,48,48,40,39,31,44,59,36,80,49,45,70,66,0,1,8,32,56,46,24,10,2,2
541,J. Edgar,Drama,Crime,116,J. EDGAR,Warner,1523039,128277,77,2012-01-27,35,71,56,35,50,18,17,0,0,37,23,25,54,26,0,0,0,46,24,0,0,0,18,28,94,74,54,35,18,19,25,39,53,59,18,0,26,0,46,36,35,0,17,26,18,46,24,0,0,26,0,18,23,49,19,45,18,0,18,23,24,17,0,0,18,0,0,25,34,0,17,0,0,0,25,0,17,0,0,18,93,24,17,0,0,17,54,23,24,17,0,34,0,38,35,24,17,17,35,17,18,23,60,50,32,0,17,18,23,63,17,0,17,17,18,23,100,17,17,17,0,0,23,24,38,33,17,0,18,49,51,0,17,25,0,0,0,0,25,0,0,17,18,0,25,0,0,34,0,0,0,24,0,0,17,0,0,0,0,0,0,17,0,0,45,23,33,0,0,17,18,22,34,24,0,0,0,0,22,0,0,66,42,32,18,9,8,1,2,0,3
542,"Beira do caminho, À",Drama,Placeholder,117,À BEIRA DO CAMINHO,Fox,1515453,168299,220,2012-10-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,51,0,0,70,0,0,0,0,0,0,71,50,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,47,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,73,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,164,0,0,0,10,3,1,2,0,1
543,The Help,Drama,Placeholder,118,HISTÓRIAS CRUZADAS,Disney,1459576,136289,73,2012-03-02,7,0,0,0,0,5,0,0,0,0,5,5,0,0,7,0,12,0,0,0,0,0,0,5,0,0,0,7,0,5,0,0,0,5,0,0,0,5,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,5,5,0,13,5,0,0,0,0,13,0,5,9,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,25,5,14,7,7,0,0,6,0,8,0,5,5,5,6,13,0,10,5,10,8,10,8,7,7,7,5,5,5,0,0,21,9,7,11,9,5,19,21,9,49,17,9,14,10,7,14,28,9,14,32,23,21,26,24,12,14,27,19,23,16,12,17,10,5,7,13,28,31,15,34,35,48,47,100,32,32,14,15,18,16,16,16,13,7,7,36,19,14,18,0,14,9,24,22,9,13,7,7,9,126,31,13,7,3,0,0,0,0,1
544,The Watch,Action,Comedy,119,VIZINHOS IMEDIATOS DE 3º GRAU,Fox,1456659,155177,99,2012-09-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,1
